name,team,level,age,playerid,playeridlevel,date,playeridunique
Richard Urena,WSN,AAA,26,16411,16411-AAA,2022-06-01,16411-AAA-2022-06-01-WSN
Jason Martin,LAD,AAA,26,16429,16429-AAA,2022-06-01,16429-AAA-2022-06-01-LAD
Johneshwy Fargas,NYM,AA,27,16446,16446-AA,2022-06-01,16446-AA-2022-06-01-NYM
Johneshwy Fargas,NYM,AAA,27,16446,16446-AAA,2022-06-01,16446-AAA-2022-06-01-NYM
Jacob Nottingham,BAL,AAA,27,16448,16448-AAA,2022-06-01,16448-AAA-2022-06-01-BAL
Danny Jansen,TOR,A,27,16535,16535-A,2022-06-01,16535-A-2022-06-01-TOR
Shed Long Jr.,BAL,A+,26,16542,16542-A+,2022-06-01,16542-A+-2022-06-01-BAL
Shed Long Jr.,BAL,A,26,16542,16542-A,2022-06-01,16542-A-2022-06-01-BAL
Shed Long Jr.,BAL,AAA,26,16542,16542-AAA,2022-06-01,16542-AAA-2022-06-01-BAL
Kevin Padlo,SFG,AAA,25,16593,16593-AAA,2022-06-01,16593-AAA-2022-06-01-SFG
Kevin Padlo,SEA,AAA,25,16593,16593-AAA,2022-06-01,16593-AAA-2022-06-01-SEA
Luis Urias,MIL,AA,25,16622,16622-AA,2022-06-01,16622-AA-2022-06-01-MIL
Jason Vosler,SFG,AAA,28,16686,16686-AAA,2022-06-01,16686-AAA-2022-06-01-SFG
John Nogowski,ATL,AAA,29,16852,16852-AAA,2022-06-01,16852-AAA-2022-06-01-ATL
Joshua Fuentes,TOR,AAA,29,16885,16885-AAA,2022-06-01,16885-AAA-2022-06-01-TOR
Colin Moran,CIN,AAA,29,16909,16909-AAA,2022-06-01,16909-AAA-2022-06-01-CIN
Derek Hill,DET,AAA,26,16947,16947-AAA,2022-06-01,16947-AAA-2022-06-01-DET
Derek Hill,DET,A,26,16947,16947-A,2022-06-01,16947-A-2022-06-01-DET
Chadwick Tromp,ATL,AAA,27,16953,16953-AAA,2022-06-01,16953-AAA-2022-06-01-ATL
Eddy Alvarez,LAD,AAA,32,16959,16959-AAA,2022-06-01,16959-AAA-2022-06-01-LAD
Edmundo Sosa,STL,AA,26,17022,17022-AA,2022-06-01,17022-AA-2022-06-01-STL
Magneuris Sierra,LAA,AAA,26,17023,17023-AAA,2022-06-01,17023-AAA-2022-06-01-LAA
Grayson Greiner,ARI,AAA,29,17062,17062-AAA,2022-06-01,17062-AAA-2022-06-01-ARI
Meibrys Viloria,TEX,AAA,25,17109,17109-AAA,2022-06-01,17109-AAA-2022-06-01-TEX
Ramon Laureano,OAK,AAA,27,17128,17128-AAA,2022-06-01,17128-AAA-2022-06-01-OAK
Chad Wallach,LAA,AAA,30,17161,17161-AAA,2022-06-01,17161-AAA-2022-06-01-LAA
Monte Harrison,LAA,AAA,26,17216,17216-AAA,2022-06-01,17216-AAA-2022-06-01-LAA
Yoan Moncada,CHW,AAA,27,17232,17232-AAA,2022-06-01,17232-AAA-2022-06-01-CHW
Alex Jackson,MIL,AAA,26,17276,17276-AAA,2022-06-01,17276-AAA-2022-06-01-MIL
Alex Jackson,MIA,AAA,26,17276,17276-AAA,2022-06-01,17276-AAA-2022-06-01-MIA
Bobby Bradley,CLE,AAA,26,17278,17278-AAA,2022-06-01,17278-AAA-2022-06-01-CLE
Cole Tucker,PIT,AAA,25,17326,17326-AAA,2022-06-01,17326-AAA-2022-06-01-PIT
Willi Castro,DET,AAA,25,17338,17338-AAA,2022-06-01,17338-AAA-2022-06-01-DET
Yermin Mercedes,CHW,AAA,29,17423,17423-AAA,2022-06-01,17423-AAA-2022-06-01-CHW
Kelvin Gutierrez,BAL,AAA,27,17468,17468-AAA,2022-06-01,17468-AAA-2022-06-01-BAL
JT Riddle,CIN,AAA,30,17642,17642-AAA,2022-06-01,17642-AAA-2022-06-01-CIN
JT Riddle,NYM,AAA,30,17642,17642-AAA,2022-06-01,17642-AAA-2022-06-01-NYM
Vimael Machin,OAK,AAA,28,17684,17684-AAA,2022-06-01,17684-AAA-2022-06-01-OAK
Kevin Newman,PIT,AAA,28,17696,17696-AAA,2022-06-01,17696-AAA-2022-06-01-PIT
Matt Beaty,SDP,AAA,29,17710,17710-AAA,2022-06-01,17710-AAA-2022-06-01-SDP
Christin Stewart,BOS,AAA,28,17714,17714-AAA,2022-06-01,17714-AAA-2022-06-01-BOS
Skye Bolt,OAK,AAA,28,17723,17723-AAA,2022-06-01,17723-AAA-2022-06-01-OAK
Richie Martin,BAL,AAA,27,17736,17736-AAA,2022-06-01,17736-AAA-2022-06-01-BAL
Max Schrock,CIN,AAA,27,17750,17750-AAA,2022-06-01,17750-AAA-2022-06-01-CIN
DJ Stewart,BAL,AAA,28,17766,17766-AAA,2022-06-01,17766-AAA-2022-06-01-BAL
Braden Bishop,ARI,AAA,28,17806,17806-AAA,2022-06-01,17806-AAA-2022-06-01-ARI
Drew Jackson,OAK,AAA,28,17807,17807-AAA,2022-06-01,17807-AAA-2022-06-01-OAK
Jakson Reetz,MIL,AA,26,17837,17837-AA,2022-06-01,17837-AA-2022-06-01-MIL
Willie Calhoun,TEX,AAA,27,17838,17838-AAA,2022-06-01,17838-AAA-2022-06-01-TEX
Luis Alexander Basabe,CHW,AAA,25,17839,17839-AAA,2022-06-01,17839-AAA-2022-06-01-CHW
Tyler Nevin,BAL,AAA,25,17893,17893-AAA,2022-06-01,17893-AAA-2022-06-01-BAL
Isan Diaz,SFG,AAA,26,17922,17922-AAA,2022-06-01,17922-AAA-2022-06-01-SFG
Isan Diaz,MIA,A,26,17922,17922-A,2022-06-01,17922-A-2022-06-01-MIA
Isan Diaz,MIA,AAA,26,17922,17922-AAA,2022-06-01,17922-AAA-2022-06-01-MIA
Andrew Stevenson,WSN,AAA,28,17932,17932-AAA,2022-06-01,17932-AAA-2022-06-01-WSN
Scott Kingery,PHI,AAA,28,17975,17975-AAA,2022-06-01,17975-AAA-2022-06-01-PHI
David Fletcher,LAA,AAA,28,17992,17992-AAA,2022-06-01,17992-AAA-2022-06-01-LAA
Paul DeJong,STL,AAA,28,18015,18015-AAA,2022-06-01,18015-AAA-2022-06-01-STL
Hoy Park,PIT,AAA,26,18027,18027-AAA,2022-06-01,18027-AAA-2022-06-01-PIT
Mark Mathias,MIL,AAA,27,18032,18032-AAA,2022-06-01,18032-AAA-2022-06-01-MIL
Sam Haggerty,SEA,AAA,28,18054,18054-AAA,2022-06-01,18054-AAA-2022-06-01-SEA
Kyle Garlick,MIN,AAA,30,18063,18063-AAA,2022-06-01,18063-AAA-2022-06-01-MIN
Austin Allen,OAK,AAA,28,18083,18083-AAA,2022-06-01,18083-AAA-2022-06-01-OAK
LaMonte Wade Jr.,SFG,AAA,28,18126,18126-AAA,2022-06-01,18126-AAA-2022-06-01-SFG
Ka'ai Tom,SFG,AAA,28,18136,18136-AAA,2022-06-01,18136-AAA-2022-06-01-SFG
Patrick Mazeika,NYM,AAA,28,18142,18142-AAA,2022-06-01,18142-AAA-2022-06-01-NYM
Nick Dini,NYM,AAA,28,18206,18206-AAA,2022-06-01,18206-AAA-2022-06-01-NYM
Austin Dean,SFG,AAA,28,18288,18288-AAA,2022-06-01,18288-AAA-2022-06-01-SFG
Brian Anderson,MIA,A,29,18289,18289-A,2022-06-01,18289-A-2022-06-01-MIA
Daz Cameron,DET,AAA,25,18353,18353-AAA,2022-06-01,18353-AAA-2022-06-01-DET
Lewin Diaz,MIA,AAA,25,18365,18365-AAA,2022-06-01,18365-AAA-2022-06-01-MIA
Jermaine Palacios,MIN,AAA,25,18371,18371-AAA,2022-06-01,18371-AAA-2022-06-01-MIN
Travis Blankenhorn,NYM,AAA,25,18395,18395-AAA,2022-06-01,18395-AAA-2022-06-01-NYM
Juan Yepez,STL,AAA,24,18400,18400-AAA,2022-06-01,18400-AAA-2022-06-01-STL
Ronald Acuna Jr.,ATL,AAA,24,18401,18401-AAA,2022-06-01,18401-AAA-2022-06-01-ATL
Trey Amburgey,CIN,AAA,27,18425,18425-AAA,2022-06-01,18425-AAA-2022-06-01-CIN
P.J. Higgins,CHC,AAA,29,18433,18433-AAA,2022-06-01,18433-AAA-2022-06-01-CHC
Junior Fernandez,STL,AAA,25,18496,18496-AAA,2022-06-01,18496-AAA-2022-06-01-STL
Ali Sanchez,STL,AAA,25,18551,18551-AAA,2022-06-01,18551-AAA-2022-06-01-STL
Nick Plummer,NYM,AAA,25,18690,18690-AAA,2022-06-01,18690-AAA-2022-06-01-NYM
Josh Naylor,CLE,AAA,25,18839,18839-AAA,2022-06-01,18839-AAA-2022-06-01-CLE
Yohel Pozo,TEX,AAA,25,18848,18848-AAA,2022-06-01,18848-AAA-2022-06-01-TEX
Jahmai Jones,BAL,AAA,24,18872,18872-AAA,2022-06-01,18872-AAA-2022-06-01-BAL
Curtis Terry,MIN,AAA,25,18881,18881-AAA,2022-06-01,18881-AAA-2022-06-01-MIN
Seby Zavala,CHW,AAA,28,18887,18887-AAA,2022-06-01,18887-AAA-2022-06-01-CHW
Danny Mendick,CHW,AAA,28,18889,18889-AAA,2022-06-01,18889-AAA-2022-06-01-CHW
Lucius Fox,WSN,AAA,24,18899,18899-AAA,2022-06-01,18899-AAA-2022-06-01-WSN
Leody Taveras,TEX,AAA,23,18900,18900-AAA,2022-06-01,18900-AAA-2022-06-01-TEX
Estevan Florial,NYY,AAA,24,19151,19151-AAA,2022-06-01,19151-AAA-2022-06-01-NYY
Corey Ray,MIL,AAA,27,19170,19170-AAA,2022-06-01,19170-AAA-2022-06-01-MIL
Zack Collins,TOR,AAA,27,19181,19181-AAA,2022-06-01,19181-AAA-2022-06-01-TOR
Trent Giambrone,CHC,AAA,28,19250,19250-AAA,2022-06-01,19250-AAA-2022-06-01-CHC
Cavan Biggio,TOR,AAA,27,19252,19252-AAA,2022-06-01,19252-AAA-2022-06-01-TOR
Jake Fraley,CIN,AAA,27,19260,19260-AAA,2022-06-01,19260-AAA-2022-06-01-CIN
Jake Fraley,CIN,A+,27,19260,19260-A+,2022-06-01,19260-A+-2022-06-01-CIN
Ian Hamilton,MIN,AAA,27,19261,19261-AAA,2022-06-01,19261-AAA-2022-06-01-MIN
Garrett Hampson,COL,AAA,27,19262,19262-AAA,2022-06-01,19262-AAA-2022-06-01-COL
Nick Senzel,CIN,AAA,27,19293,19293-AAA,2022-06-01,19293-AAA-2022-06-01-CIN
Nick Solak,TEX,AAA,27,19294,19294-AAA,2022-06-01,19294-AAA-2022-06-01-TEX
Donovan Walton,SFG,AAA,28,19314,19314-AAA,2022-06-01,19314-AAA-2022-06-01-SFG
Donovan Walton,SEA,AAA,28,19314,19314-AAA,2022-06-01,19314-AAA-2022-06-01-SEA
Matt Thaiss,LAA,AAA,27,19318,19318-AAA,2022-06-01,19318-AAA-2022-06-01-LAA
Jose Rojas,LAA,AAA,29,19331,19331-AAA,2022-06-01,19331-AAA-2022-06-01-LAA
Luke Raley,TBR,AAA,27,19354,19354-AAA,2022-06-01,19354-AAA-2022-06-01-TBR
Zach McKinstry,LAD,AAA,27,19392,19392-AAA,2022-06-01,19392-AAA-2022-06-01-LAD
Brian Serven,COL,AAA,27,19422,19422-AAA,2022-06-01,19422-AAA-2022-06-01-COL
Yonny Hernandez,TEX,AAA,24,19432,19432-AAA,2022-06-01,19432-AAA-2022-06-01-TEX
Yonny Hernandez,ARI,AAA,24,19432,19432-AAA,2022-06-01,19432-AAA-2022-06-01-ARI
Alex De Goti,HOU,AAA,27,19477,19477-AAA,2022-06-01,19477-AAA-2022-06-01-HOU
Kyle Lewis,SEA,AAA,26,19508,19508-AAA,2022-06-01,19508-AAA-2022-06-01-SEA
Andrew Young,WSN,AAA,28,19521,19521-AAA,2022-06-01,19521-AAA-2022-06-01-WSN
